generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
1,4d8d40c4-e7cd-4339-a729-9e4ed1c5a75b,untrimmed,1,119671,20,0.2,sigmoid,mse,adam,90.0,1,1,[8],"[(4, 4)]",[32],"(2, 2)",7.397778755263067
1,2d1736a6-da9c-4731-aefd-f54c569888ec,untrimmed,3,119671,30,0.25,relu,mae,rmsprop,94.0,2,1,"[8, 32]","[(8, 8), (4, 4)]",[64],"(3, 3)",6.444064664679431
1,4adbb3e3-198a-4246-be1a-31e7c5c6833f,untrimmed,3,119671,40,0.15,relu,mae,adam,80.0,1,3,[16],"[(8, 8)]","[8, 32, 32]","(4, 4)",6.410099889865722
1,f39771b3-87b3-4985-af55-e5654c3ea0b8,untrimmed,3,119671,25,0.3,tanh,mae,sgd,98.0,3,2,"[8, 8, 64]","[(4, 4), (3, 3), (3, 3)]","[64, 8]","(4, 4)",6.490184925725267
1,7e3c3b3f-0858-455e-8609-e61a9e727618,trimmed,3,119671,50,0.15,relu,mae,sgd,96.0,1,1,[64],"[(4, 4)]",[32],"(4, 4)",9.9820311304191
1,fdb691e5-6a5d-4d26-9178-0894e0cd44ec,trimmed,1,119671,30,0.3,relu,mae,rmsprop,96.0,1,1,[32],"[(4, 4)]",[16],"(4, 4)",10.16536188901888
1,e2e9a8cd-5944-4498-9c5c-47c7011ffcfa,trimmed,3,119671,30,0.15,tanh,mae,sgd,86.0,1,3,[64],"[(4, 4)]","[32, 16, 64]","(2, 2)",18.452083729658742
1,d12430f4-0ffc-4398-b520-fd88f2b70883,trimmed,1,119671,10,0.25,sigmoid,mae,sgd,100.0,2,3,"[64, 32]","[(8, 8), (4, 4)]","[8, 8, 8]","(3, 3)",20.938492328134465
1,0b2b7614-a80d-4f47-9ace-de66b3920d68,trimmed,2,114458,40,0.1,relu,mse,sgd,94.0,2,2,"[8, 32]","[(8, 8), (4, 4)]","[16, 8]","(3, 3)",17.46879009541194
1,3cbf8841-a5f6-4f53-a9ac-7e3cd7844ab2,trimmed,2,114458,20,0.3,relu,mae,adam,94.0,2,2,"[16, 8]","[(7, 7), (8, 8)]","[8, 16]","(2, 2)",10.727012375678632
1,7273fd38-531a-496e-9655-f2d54072a220,trimmed,3,114458,10,0.25,tanh,mse,rmsprop,80.0,3,2,"[16, 16, 16]","[(3, 3), (4, 4), (4, 4)]","[8, 32]","(2, 2)",16.57197377046598
1,cd3fae22-dbb7-4c7c-a382-dbb7e37dc7af,untrimmed,1,119671,45,0.1,relu,mse,sgd,80.0,2,1,"[32, 8]","[(3, 3), (3, 3)]",[32],"(3, 3)",3.810247147058924
1,e243a8ee-066a-4fdc-bcd5-88b5092108ec,untrimmed,1,119671,30,0.3,relu,mse,adam,96.0,2,3,"[8, 16]","[(5, 5), (3, 3)]","[32, 16, 32]","(3, 3)",4.3815125854625725
1,37ad3a3a-7cf7-4e7d-a94d-1e6ad6035ae2,untrimmed,3,119671,40,0.1,sigmoid,mse,rmsprop,86.0,2,1,"[64, 16]","[(7, 7), (7, 7)]",[32],"(2, 2)",4.0692469088044
1,93801f9d-277e-4eda-806c-f2b8d057e59c,trimmed,2,114458,45,0.2,sigmoid,mse,rmsprop,82.0,2,1,"[16, 32]","[(7, 7), (4, 4)]",[8],"(4, 4)",18.029378458650832
1,5b1699d1-589b-40e7-91df-33ca445d094c,untrimmed,2,114458,10,0.1,tanh,mse,adam,90.0,3,3,"[8, 8, 8]","[(5, 5), (7, 7), (7, 7)]","[32, 64, 64]","(2, 2)",6.41189061853492
1,881ec6f2-4471-479a-b3b7-5a110234fed9,trimmed,2,114458,20,0.15,sigmoid,mae,rmsprop,82.0,2,2,"[16, 64]","[(7, 7), (3, 3)]","[16, 64]","(4, 4)",17.02498029148228
1,014ec981-aac6-4500-b87e-d57c11c94fd1,untrimmed,2,114458,15,0.15,relu,mae,adam,92.0,1,2,[64],"[(3, 3)]","[16, 16]","(3, 3)",4.43317279258086
1,7b8ee546-abd1-44d7-b0c0-a0f829252325,untrimmed,2,114458,40,0.15,relu,mse,rmsprop,84.0,3,2,"[32, 64, 32]","[(3, 3), (4, 4), (7, 7)]","[64, 8]","(2, 2)",5.0860549399989
1,1ae80327-f89b-4b8f-9249-21d728482ed7,trimmed,2,114458,15,0.25,relu,mse,rmsprop,88.0,2,1,"[8, 32]","[(3, 3), (3, 3)]",[32],"(3, 3)",12.568558654411971
1,a8347b35-416f-47d1-9dca-74f8c4c4b838,untrimmed,1,119671,15,0.25,tanh,mse,sgd,80.0,1,1,[32],"[(7, 7)]",[8],"(4, 4)",6.415783843931997
