generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
1,01a0300f-1625-48cc-921a-901ffb360cc1,trimmed,1,119671,45,0.15,sigmoid,mse,sgd,100.0,1,1,[8],"[(5, 5)]",[8],"(2, 2)",20.998626360707238
1,ec2c0cbc-077d-498b-a364-9df9c070990d,untrimmed,2,114458,40,0.15,sigmoid,mse,adam,84.0,3,1,"[8, 32, 16]","[(7, 7), (7, 7), (4, 4)]",[64],"(3, 3)",16.810426706037365
1,d6164f6f-c049-42df-b88d-b009f85f19e6,trimmed,2,114458,45,0.1,relu,mae,adam,88.0,2,1,"[64, 32]","[(5, 5), (4, 4)]",[32],"(4, 4)",10.714054110928547
1,b03dbb33-f943-4c65-95ca-212d8d781a3a,untrimmed,1,119671,15,0.3,sigmoid,mse,sgd,92.0,2,1,"[16, 16]","[(5, 5), (5, 5)]",[8],"(2, 2)",7.682878914449066
1,fc91ad51-4280-4745-97cf-66dd20c3d546,trimmed,3,114458,40,0.3,tanh,mse,adam,84.0,1,1,[16],"[(8, 8)]",[8],"(2, 2)",12.133959245614582
1,96ec4bf7-33d5-4378-9069-c4e0c603b3f6,untrimmed,1,119671,30,0.15,sigmoid,mae,adam,90.0,2,1,"[8, 8]","[(3, 3), (3, 3)]",[8],"(2, 2)",3.763807588608558
1,9f1d8477-8eaf-4008-9191-9ff5f30c789c,trimmed,2,114458,10,0.1,tanh,mse,sgd,96.0,2,3,"[64, 8]","[(8, 8), (3, 3)]","[64, 16, 64]","(3, 3)",13.218884521844881
1,6f8c7067-5c12-45ba-a350-d90aae1a5d74,untrimmed,3,114458,20,0.15,relu,mse,rmsprop,94.0,1,2,[32],"[(5, 5)]","[64, 8]","(4, 4)",7.8316909442444596
1,c39b1a97-6627-43cb-9908-de5c711c96a0,trimmed,3,114458,50,0.3,relu,mse,rmsprop,92.0,3,2,"[32, 32, 32]","[(7, 7), (4, 4), (7, 7)]","[32, 16]","(3, 3)",11.13710240448474
1,68c42331-a411-4282-9b88-806982362614,trimmed,1,119671,15,0.3,relu,mse,adam,90.0,2,3,"[8, 16]","[(5, 5), (7, 7)]","[16, 8, 32]","(4, 4)",16.896079193951696
1,60614db7-873c-474d-9826-bf8cd9b9e77e,untrimmed,3,119671,20,0.2,relu,mae,sgd,96.0,3,1,"[8, 32, 32]","[(3, 3), (7, 7), (5, 5)]",[8],"(4, 4)",3.6389583825555087
1,596d5af3-b11e-456a-9a5b-b6367c626c80,untrimmed,1,119671,45,0.2,sigmoid,mae,sgd,90.0,1,3,[16],"[(4, 4)]","[64, 16, 64]","(3, 3)",5.312751161941481
1,746d3c3e-6b46-4df9-b93a-8bb0f1697965,untrimmed,2,114458,40,0.2,sigmoid,mse,sgd,92.0,2,3,"[16, 32]","[(5, 5), (5, 5)]","[32, 64, 8]","(4, 4)",16.449502309524224
1,b40d19e6-e3e0-4d5d-b5d4-e89b74769110,trimmed,3,119671,30,0.25,relu,mae,sgd,82.0,2,3,"[8, 8]","[(7, 7), (3, 3)]","[32, 16, 64]","(2, 2)",19.191988113529966
1,4f038a3c-a9d0-4b51-a61a-10f22e20dfb7,trimmed,3,114458,15,0.1,tanh,mae,adam,80.0,2,3,"[8, 8]","[(4, 4), (4, 4)]","[64, 64, 16]","(2, 2)",11.784163779792937
1,d4562001-fb1d-4bc0-b9f4-1b01f78afa5f,trimmed,1,119671,30,0.15,relu,mae,sgd,96.0,3,2,"[64, 64, 16]","[(8, 8), (5, 5), (8, 8)]","[64, 64]","(4, 4)",17.77021016551527
1,dcbf6f60-00f5-4f26-a368-396ae2730003,trimmed,3,119671,40,0.15,relu,mse,sgd,86.0,2,3,"[16, 16]","[(8, 8), (4, 4)]","[8, 8, 64]","(4, 4)",15.996560806687773
1,1f6aa64b-075c-466e-baa2-a878a4c2837f,trimmed,3,114458,40,0.1,relu,mse,rmsprop,94.0,2,1,"[16, 16]","[(4, 4), (4, 4)]",[8],"(4, 4)",12.024058684841677
