generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,early_stopping_patience,early_stopping_min_delta,mape
1,e657d6af-7696-436a-adbe-6d68ed4042db,trimmed,2,114458,10,0.3,sigmoid,mse,sgd,98.0,2,1,"[32, 16]","[(3, 3), (3, 3)]",[64],"(2, 2)",25,0.005,19.2775404642155
1,9930a0a2-50ff-4811-84c0-c27a306278de,trimmed,2,114458,25,0.1,sigmoid,mse,adam,84.0,2,1,"[16, 8]","[(4, 4), (3, 3)]",[64],"(3, 3)",20,0.005,16.83192961516041
1,68130b71-67b2-4722-9606-060f2e50ecf8,trimmed,2,114458,15,0.25,sigmoid,mse,sgd,90.0,2,3,"[32, 64]","[(5, 5), (3, 3)]","[16, 64, 8]","(3, 3)",15,0.005,18.12936323794318
1,e62f551b-f022-4ad2-8155-9a9be5a254bc,untrimmed,2,114458,30,0.1,relu,mae,adam,94.0,2,2,"[8, 16]","[(7, 7), (5, 5)]","[8, 8]","(2, 2)",15,0.05,8.724420130652545
1,c55e1524-3c22-4a51-aaee-a47e963dd7dd,trimmed,2,114458,30,0.3,sigmoid,mse,rmsprop,92.0,3,3,"[32, 64, 32]","[(8, 8), (8, 8), (5, 5)]","[32, 32, 32]","(4, 4)",5,0.01,18.4524611274764
1,fc25ee63-cab2-4f34-b77b-fb30e0f78dac,trimmed,2,114458,15,0.2,sigmoid,mse,rmsprop,90.0,3,1,"[64, 32, 8]","[(5, 5), (7, 7), (3, 3)]",[32],"(4, 4)",25,0.02,18.229318349386055
1,825e48e0-9db4-4635-8605-ca5c6bca1832,trimmed,2,114458,35,0.1,sigmoid,mae,rmsprop,98.0,1,1,[64],"[(5, 5)]",[16],"(2, 2)",25,0.001,20.03945192806613
1,e2d76e4d-c49b-438e-b23d-8885c9b2059c,trimmed,2,114458,15,0.3,relu,mse,sgd,92.0,1,1,[64],"[(4, 4)]",[16],"(2, 2)",25,0.01,18.532625290503223
1,3d90fbf0-5e21-475c-a708-9164f93105c1,untrimmed,2,114458,25,0.15,relu,mse,adam,92.0,3,2,"[32, 32, 8]","[(7, 7), (5, 5), (7, 7)]","[16, 64]","(2, 2)",10,0.05,10.263955680960677
1,ac029d97-f622-419c-932b-4dd4560f03f8,trimmed,2,114458,10,0.2,sigmoid,mse,rmsprop,92.0,1,3,[8],"[(7, 7)]","[32, 32, 8]","(3, 3)",5,0.05,18.397369519437177
